,S1,S11,S10,S9,S5,S4,S13,S3,S2,S12
0,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073,2315.5488392702073
1,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475,1804.2173231779475
2,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547,3796.383795468547
3,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095,3714.589733498095
4,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483,2496.5036207036483
5,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192,1875.3415868817192
6,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807,2495.4118791464807
7,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418,1694.5998961561418
8,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849,5138.322811470849
9,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303,1559.9430150517303
10,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086,1363.8698961459086
11,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921,2265.045515459921
12,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232,1311.3776919001232
13,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835,1322.7435215855835
14,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922,4498.336050210922
15,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427,1958.1732299187427
16,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464,7381.75489735464
17,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885,1762.5692362011885
18,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217,4187.034333156217
19,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085,1885.8361572695085
